- - wiyaw	 NDI-1	 body; his/her body	 {w-} + -iyaw-
- kikâwînaw	 NDA-2	 Our Mother, The Earth	 {ki-} + -kâwiy- + {-inaw}
- kôhtâwînaw	 NDA-2	 Our Father; Our Creator ;; [Christian:] Heavenly Father, Our Father; Our Lord	 {k-} + -ohtâwiy- + {-inaw}
- macâs	 NDI-1	 small stomach, small belly	 {m-} + -acâs-
- mahkwan	 NDI-1	 heel	 {m-} + -ahkwan-
- mahkwanikan	 NDI-1	 heelbone	 {m-} + -ahkwanikan-
- mahkwanêyâpiy	 NDI-2	 achilles tendon, tendon at back of heel	 {m-} + -ahkwanêyâpiy-
- maniway	 NDI-2	 cheek	 {m-} + -aniway-
- masakay	 NDA-2	 skin	 {m-} + -asakay-
- maskasiy	 NDA-2	 fingernail; claw	 {m-} + -askasiy-
- maskatay	 NDI-2	 stomach-covering; abdominal-wall, belly (of an animal) [i.e. tough meat layered with fat]	 {m-} + -askatay-
- matay	 NDI-2	 belly, abdomen; stomach	 {m-} + -atay-
- mayakask	 NDI-3	 palate	 {m-} + -ayakaskw-
- micicâskay	 NDI-2	 crotch	 {mi-} + -cicâskay-
- micicâskâs	 NDI-1	 crotch, pubic region	 {mi-} + -cicâskâs-
- micihciy	 NDI-2	 hand; paw (e.g. bear)	 {mi-} + -cihciy-
- micihcîs	 NDI-1	 finger; little hand	 {mi-} + -cihcîs-
- micisk	 NDI-1	 anus	 {mi-} + -cisk-
- miciskakisiy	 NDI-2	 rectum (lower end)	 {mi-} + -ciskakisiy-
- miciskêyâpiy	 NDI-2	 rectum (full length)	 {mi-} + -ciskêyâpiy-
- micohcôsimis	 NDA-1	 nipple (of a breast); small breast	 {mi-} + -cohcôsimis-
- micâsis	 NDA-1	 small pair of pants, shorts; underpants; loin-cloth; leggings	 {mi-} + -câsis-
- micêhis	 NDI-1	 small heart, little heart	 {mi-} + -cêhis-
- micêstatay	 NDI-2	 muscle	 {mi-} + -cêstatay-
- micîhcîkom	 NDA-1	 wart	 {mi-} + -cîhcîkom-
- micônis	 NDI-1	 small mouth; [plural:] lips	 {mi-} + -cônis-
- micôskwanis	 NDI-1	 little elbow	 {mi-} + -côskwanis-
- mihcawakâs	 NDI-1	 little ear	 {mi-} + -htawakâs-
- mihcikwan	 NDI-1	 knee	 {mi-} + -hcikwan-
- mihcikwanikan	 NDI-1	 kneebone	 {mi-} + -hcikwanikan-
- mihkwâkan	 NDI-1	 face	 {mi-} + -hkwâkan-
- mihkwâkanis	 NDI-1	 face	 {mi-} + -hkwâkanis-
- mihtawakay	 NDI-2	 ear	 {mi-} + -htawakay- OBS
- mikitik	 NDI-3	 kneecap; knee	 {mi-} + -kitikw-
- mikohcaskwayêyâpîsa	 NDI-1	 bronchial tubes	 {mi-} + -kohcaskwayêyâpîs-
- mikohtaskway	 NDI-2	 throat	 {mi-} + -kohtaskway-
- mikohtaskwayêyâpiy	 NDI-2	 windpipe	 {mi-} + -kohtaskwayêyâpiy-
- mikohtâkan	 NDI-1	 throat	 {mi-} + -kohtâkan-
- mikot	 NDI-1	 nose; beak	 {mi-} + -kot-
- mikwayaw	 NDI-2	 neck	 {mi-} + -kwayaw-
- mikwayawikan	 NDI-1	 neck-bone	 {mi-} + -kwayawikan-
- mikwâskonêw	 NDI-2	 chin	 {mi-} + -kwâskonêw-
- mikwâskonêwikan	 NDI-1	 chin	 {mi-} + -kwâskonêwikan-
- mipwâm	 NDI-1	 thigh	 {mi-} + -pwâm-
- mipwâmikan	 NDI-1	 femur; thighbone	 {mi-} + -pwâmikan-
- miscikwânis	 NDI-1	 little head, baby's head	 {mi-} + -scikwânis-
- misicis	 NDI-1	 small foot, little foot	 {mi-} + -sicis-
- misit	 NDI-1	 foot	 {mi-} + -sit-
- miskan	 NDI-1	 bone	 {mi-} + -skan-
- miskanis	 NDI-1	 small bone	 {mi-} + -skanis-
- miskiwan	 NDI-1	 nose, snout	 {mi-} + -skiwan-
- miskiwanikan	 NDI-1	 nasal bone	 {mi-} + -skiwanikan-
- miskocâkâs	 NDI-1	 small coat, jacket; dress; short skirt	 {mi-} + -skocâkâs-
- miskon	 NDI-1	 liver	 {mi-} + -skon-
- miskotâkay	 NDI-2	 coat, jacket; dress; skirt	 {mi-} + -skotâkay-
- miskâhtik	 NDI-3	 forehead	 {mi-} + -skâhtikw-
- miskâhtikwanikan	 NDI-1	 frontal bone of skull	 {mi-} + -skâhtikwanikan-
- miskât	 NDI-1	 leg	 {mi-} + -skât-
- miskâtikan	 NDI-1	 legbone	 {mi-} + -skâtikan-
- miskîsik	 NDI-3	 eye	 {mi-} + -skîsikw-
- miskîsikohkâna	 NDI-1	 eye glasses	 {mi-} + -skîsikohkân-
- miskîsikos	 NDI-1	 small eye, little eye	 {mi-} + -skîsikos-
- miskîsikwâpitân	 NDI-1	 eye-tooth	 {mi-} + -skîsikwâpitân-
- mispayowak	 NDA-2	 ovaries	 {mi-} + -spayow-
- mispiconis	 NDI-1	 little arm; fore-arm of a small animal	 {mi-} + -spiconis-
- mispikay	 NDI-2	 rib; side; [plural:] ribs, sides of the torso	 {mi-} + -spikay-
- mispikêkan	 NDI-1	 rib, rib-bone	 {mi-} + -spikêkan-
- mispiskwan	 NDI-1	 back	 {mi-} + -spiskwan-
- mispiton	 NDI-1	 arm	 {mi-} + -spiton-
- mistikwân	 NDI-1	 head; mind	 {mi-} + -stikwân-
